Transaction_ID,Product,Region,Quantity,Unit_Price,Total_Sales,Date
T00000075,Monitor,South,8,1829.57,14636.56,2020-04-01
T00000076,Smartphone,West,12,870.55,10446.6,2020-08-19
T00000077,Mouse,West,9,880.87,7927.83,2021-07-07
T00000078,Printer,East,10,411.03,4110.3,2023-11-22
T00000079,Smartphone,South,8,195.94,1567.52,2022-11-06
T00000080,Smartphone,South,10,238.13,2381.3,2024-03-18
T00000081,Headphones,North,15,902.65,13539.75,2022-03-03
T00000082,Monitor,West,13,667.83,8681.79,2020-03-17
T00000083,Printer,Central,12,1773.31,21279.72,2022-07-16
T00000084,Mouse,East,13,1078.19,14016.47,2024-04-29
T00000085,Keyboard,South,4,1304.46,5217.84,2022-06-04
T00000086,Tablet,West,16,1367.06,21872.96,2021-02-18
T00000087,Laptop,East,17,670.67,11401.39,2020-12-27
T00000088,Smartwatch,South,2,55.51,111.02,2024-08-23
T00000089,Headphones,East,12,709.72,8516.64,2022-12-03
T00000090,Smartphone,North,1,618.42,618.42,2024-05-12
T00000091,Keyboard,South,20,1121.46,22429.2,2024-05-21
T00000092,Monitor,East,15,844.95,12674.25,2020-03-26
T00000093,Smartwatch,West,19,957.84,18198.96,2021-08-25
T00000094,Printer,North,6,164.77,988.62,2020-02-11
T00000095,Camera,Central,10,118.04,1180.4,2023-09-12
T00000096,Printer,East,16,777.85,12445.6,2022-06-26
T00000097,Mouse,Central,16,1291.81,20668.96,2022-07-16
T00000098,Monitor,East,12,1842.29,22107.48,2021-09-09
T00000099,Mouse,North,11,327.66,3604.26,2021-02-03
T00000100,Headphones,East,1,570.74,570.74,2024-06-12
T00000101,Headphones,South,11,523.77,5761.47,2020-12-11
T00000102,Smartphone,Central,15,1787.17,26807.55,2020-12-05
T00000103,Keyboard,East,13,359.2,4669.6,2024-04-15
T00000104,Camera,East,5,994.31,4971.55,2023-05-24
T00000105,Camera,South,4,1679.68,6718.72,2024-06-27
T00000106,Smartwatch,West,8,264.1,2112.8,2024-01-05
T00000107,Headphones,East,15,672.48,10087.2,2024-04-08
T00000108,Smartphone,West,17,1037.3,17634.1,2024-11-28
T00000109,Smartphone,South,20,1152.23,23044.6,2020-04-27
T00000110,Keyboard,North,11,1051.17,11562.87,2023-04-07
T00000111,Laptop,North,10,227.84,2278.4,2020-08-01
T00000112,Smartphone,North,18,1928.79,34718.22,2020-08-05
T00000113,Tablet,West,8,109.95,879.6,2023-03-20
T00000114,Headphones,West,6,661.51,3969.06,2023-10-20
T00000115,Headphones,Central,6,328.26,1969.56,2020-07-01
T00000116,Keyboard,North,10,1605.2,16052.0,2024-09-17
T00000117,Mouse,North,9,177.89,1601.01,2020-08-27
T00000118,Camera,West,19,337.06,6404.14,2020-10-23
T00000119,Mouse,South,17,944.06,16049.02,2020-01-16
T00000120,Mouse,East,10,1457.03,14570.3,2024-11-11
T00000121,Laptop,West,8,1672.95,13383.6,2024-08-12
T00000122,Tablet,East,13,179.82,2337.66,2023-03-11
T00000123,Laptop,Central,8,1553.55,12428.4,2023-10-16
T00000124,Printer,Central,18,1232.38,22182.84,2024-02-01
T00000125,Headphones,Central,18,1448.19,26067.42,2021-01-17
T00000126,Laptop,South,6,465.88,2795.28,2021-06-21
T00000127,Smartwatch,West,11,1865.69,20522.59,2021-02-10
T00000128,Headphones,South,20,1276.35,25527.0,2020-12-06
T00000129,Camera,West,2,1487.42,2974.84,2021-08-09
T00000130,Smartphone,West,18,1842.28,33161.04,2020-01-22
T00000131,Keyboard,North,7,771.68,5401.76,2024-09-08
T00000132,Headphones,East,14,1728.94,24205.16,2022-03-03
T00000133,Tablet,Central,15,1897.13,28456.95,2023-09-16
T00000134,Laptop,West,19,938.34,17828.46,2021-05-19
T00000135,Keyboard,South,1,272.44,272.44,2022-04-11
T00000136,Keyboard,Central,10,781.28,7812.8,2024-02-13
T00000137,Smartwatch,South,7,1156.36,8094.52,2021-10-28
T00000138,Mouse,North,6,785.34,4712.04,2021-04-16
T00000139,Camera,West,12,1801.76,21621.12,2023-05-05
T00000140,Tablet,South,1,1916.93,1916.93,2021-03-18
T00000141,Printer,West,4,165.54,662.16,2023-02-10
T00000142,Camera,Central,5,624.85,3124.25,2023-04-26
T00000143,Printer,North,18,349.98,6299.64,2023-09-13
T00000144,Keyboard,North,7,266.29,1864.03,2020-06-27
T00000145,Keyboard,North,20,1540.07,30801.4,2020-03-16
T00000146,Camera,West,10,573.29,5732.9,2020-11-27
T00000147,Camera,West,14,1782.83,24959.62,2023-08-09
T00000148,Smartphone,East,8,800.72,6405.76,2023-06-26
T00000149,Printer,South,12,1021.46,12257.52,2023-09-01
T00000150,Tablet,West,5,792.23,3961.15,2020-01-04
T00000151,Camera,East,12,699.61,8395.32,2020-07-30
T00000152,Keyboard,North,20,1078.73,21574.6,2021-07-11
T00000153,Smartphone,Central,18,1029.42,18529.56,2022-12-18
T00000154,Monitor,East,19,1005.71,19108.49,2024-04-14
T00000155,Laptop,Central,17,451.61,7677.37,2021-05-09
T00000156,Laptop,Central,19,1601.53,30429.07,2023-12-03
T00000157,Monitor,Central,10,1635.55,16355.5,2020-11-25
T00000158,Smartwatch,East,8,1192.09,9536.72,2022-11-04
T00000159,Keyboard,Central,5,1347.6,6738.0,2021-11-06
T00000160,Tablet,West,17,1623.75,27603.75,2022-02-21
T00000161,Keyboard,West,19,1429.97,27169.43,2023-08-08
T00000162,Tablet,North,13,1192.28,15499.64,2023-06-13
T00000163,Tablet,South,7,1163.45,8144.15,2020-01-13
T00000164,Keyboard,Central,20,1464.03,29280.6,2024-02-18
T00000165,Tablet,East,14,1070.81,14991.34,2024-12-27
T00000166,Keyboard,South,20,1503.93,30078.6,2020-02-18
T00000167,Camera,North,16,528.11,8449.76,2020-04-07
T00000168,Keyboard,Central,11,142.97,1572.67,2020-10-29
T00000169,Laptop,Central,11,531.93,5851.23,2020-03-24
T00000170,Printer,Central,10,996.77,9967.7,2024-06-20
T00000171,Printer,North,20,867.46,17349.2,2022-09-03
T00000172,Printer,Central,16,613.66,9818.56,2024-03-27
T00000173,Printer,South,20,1913.34,38266.8,2020-11-12
T00000174,Monitor,West,5,1339.76,6698.8,2023-05-31
T00000175,Tablet,East,3,569.45,1708.35,2023-03-09
T00000176,Laptop,South,1,1997.67,1997.67,2020-12-05
T00000177,Mouse,North,12,1589.0,19068.0,2021-11-28
T00000178,Mouse,East,14,1679.69,23515.66,2024-10-20
T00000179,Laptop,East,7,211.59,1481.13,2023-05-31
T00000180,Printer,West,6,488.62,2931.72,2021-02-18
T00000181,Keyboard,North,4,790.74,3162.96,2024-10-26
T00000182,Headphones,West,18,730.22,13143.96,2020-05-30
T00000183,Camera,South,10,1495.17,14951.7,2021-10-12
T00000184,Camera,East,17,210.04,3570.68,2022-08-05
T00000185,Laptop,Central,18,269.02,4842.36,2024-09-03
T00000186,Keyboard,Central,2,267.02,534.04,2021-07-03
T00000187,Camera,East,13,1811.59,23550.67,2023-06-09
T00000188,Smartwatch,West,13,1100.45,14305.85,2020-08-03
T00000189,Monitor,Central,16,87.45,1399.2,2021-08-03
T00000190,Smartphone,South,15,151.63,2274.45,2020-11-23
T00000191,Laptop,North,1,291.64,291.64,2021-03-13
T00000192,Printer,South,7,1946.98,13628.86,2024-04-06
T00000193,Mouse,North,14,347.95,4871.3,2023-09-22
T00000194,Camera,Central,18,893.0,16074.0,2021-10-17
T00000195,Headphones,South,13,737.57,9588.41,2024-07-21
T00000196,Keyboard,North,16,1917.24,30675.84,2021-09-20
T00000197,Tablet,South,6,931.12,5586.72,2020-04-22
T00000198,Keyboard,West,11,1420.98,15630.78,2024-07-25
T00000199,Laptop,East,2,1103.3,2206.6,2021-12-26
T00000200,Tablet,East,20,87.98,1759.6,2020-07-24
T00000201,Mouse,West,12,551.51,6618.12,2021-12-16
T00000202,Monitor,South,2,1265.54,2531.08,2021-03-17
T00000203,Printer,East,15,65.72,985.8,2023-11-20
T00000204,Camera,East,18,1749.08,31483.44,2024-01-06
T00000205,Headphones,East,8,1918.23,15345.84,2020-01-05
T00000206,Smartwatch,West,14,995.34,13934.76,2021-07-31
T00000207,Keyboard,Central,10,1952.78,19527.8,2022-09-22
T00000208,Mouse,Central,9,1972.35,17751.15,2021-07-07
T00000209,Smartwatch,North,17,199.79,3396.43,2022-05-06
T00000210,Laptop,Central,18,1610.53,28989.54,2023-06-30
T00000211,Laptop,West,6,1842.19,11053.14,2023-05-06
T00000212,Tablet,East,14,172.65,2417.1,2024-10-10
T00000213,Printer,North,17,639.28,10867.76,2022-01-10
T00000214,Headphones,West,14,348.17,4874.38,2021-05-29
T00000215,Monitor,Central,2,1569.35,3138.7,2023-02-25
T00000216,Keyboard,West,1,1264.27,1264.27,2020-10-01
T00000217,Laptop,South,13,1927.88,25062.44,2024-06-13
T00000218,Tablet,South,6,1343.24,8059.44,2020-06-09
T00000219,Mouse,West,6,1730.42,10382.52,2023-08-19
T00000220,Headphones,South,10,387.56,3875.6,2021-05-05
T00000221,Smartphone,South,8,1528.41,12227.28,2020-10-02
T00000222,Laptop,Central,17,1693.45,28788.65,2024-11-17
T00000223,Headphones,West,10,378.84,3788.4,2020-10-07
T00000224,Monitor,West,14,1840.91,25772.74,2020-09-12
T00000225,Laptop,Central,14,540.64,7568.96,2023-11-05
T00000226,Mouse,Central,6,1766.96,10601.76,2021-08-11
T00000227,Smartwatch,Central,6,1392.89,8357.34,2021-05-10
T00000228,Printer,Central,1,722.66,722.66,2024-08-12
T00000229,Printer,South,15,101.57,1523.55,2021-03-30
T00000230,Camera,Central,18,695.14,12512.52,2024-12-02
T00000231,Monitor,West,10,1947.36,19473.6,2022-10-28
T00000232,Keyboard,West,17,1302.04,22134.68,2022-12-29
T00000233,Smartphone,North,14,1068.26,14955.64,2024-07-19
T00000234,Mouse,South,18,306.06,5509.08,2023-10-15
T00000235,Mouse,East,16,1900.89,30414.24,2024-01-11
T00000236,Smartwatch,North,13,530.86,6901.18,2022-07-02
T00000237,Printer,Central,13,1857.22,24143.86,2023-04-21
T00000238,Keyboard,South,15,1273.62,19104.3,2020-05-22
T00000239,Smartwatch,North,17,713.66,12132.22,2024-12-18
T00000240,Printer,North,5,1895.81,9479.05,2021-07-17
T00000241,Laptop,East,12,949.66,11395.92,2023-11-13
T00000242,Smartphone,West,9,173.47,1561.23,2024-07-04
T00000243,Keyboard,North,20,261.0,5220.0,2023-10-17
T00000244,Smartwatch,West,4,1612.46,6449.84,2020-12-10
T00000245,Printer,West,19,1881.66,35751.54,2022-10-09
T00000246,Tablet,West,6,846.54,5079.24,2022-12-21
T00000247,Headphones,West,16,1546.26,24740.16,2023-10-30
T00000248,Tablet,Central,15,156.06,2340.9,2022-11-23
T00000249,Smartphone,Central,4,651.39,2605.56,2024-03-29
T00000250,Mouse,East,14,1367.98,19151.72,2020-04-11
T00000251,Keyboard,South,16,702.15,11234.4,2021-06-19
T00000252,Camera,Central,15,681.01,10215.15,2020-10-12
T00000253,Headphones,East,1,247.35,247.35,2021-09-02
T00000254,Mouse,East,3,1786.89,5360.67,2021-08-29
T00000255,Keyboard,North,16,1611.71,25787.36,2023-10-24
T00000256,Keyboard,Central,9,1055.46,9499.14,2023-03-23
T00000257,Laptop,East,17,1927.43,32766.31,2022-10-02
T00000258,Headphones,Central,15,1439.9,21598.5,2023-07-22
T00000259,Smartphone,Central,4,934.22,3736.88,2024-08-10
T00000260,Camera,West,8,1240.58,9924.64,2021-02-15
T00000261,Camera,Central,6,1556.43,9338.58,2021-06-19
T00000262,Smartphone,North,1,402.16,402.16,2020-07-20
T00000263,Laptop,Central,15,773.11,11596.65,2024-02-21
T00000264,Monitor,Central,2,1105.05,2210.1,2024-11-27
T00000265,Mouse,North,6,287.89,1727.34,2022-08-16
T00000266,Tablet,South,8,1681.15,13449.2,2023-03-21
T00000267,Keyboard,South,13,680.77,8850.01,2023-09-17
T00000268,Printer,Central,2,1571.18,3142.36,2021-03-16
T00000269,Mouse,Central,17,348.28,5920.76,2020-11-15
T00000270,Camera,Central,20,1491.86,29837.2,2023-09-15
T00000271,Camera,East,17,1216.83,20686.11,2021-12-11
T00000272,Tablet,East,10,1273.22,12732.2,2024-10-24
T00000273,Laptop,South,10,567.02,5670.2,2024-08-12
T00000274,Headphones,East,2,157.71,315.42,2021-04-12
T00000275,Laptop,South,7,1420.4,9942.8,2020-04-23
T00000276,Printer,North,14,1918.56,26859.84,2021-07-15
T00000277,Headphones,South,14,345.32,4834.48,2021-12-30
T00000278,Headphones,South,11,55.1,606.1,2023-11-26
T00000279,Headphones,West,15,100.78,1511.7,2020-05-30
T00000280,Laptop,South,16,677.59,10841.44,2021-10-25
T00000281,Smartwatch,East,1,1388.88,1388.88,2024-07-06
T00000282,Smartwatch,North,14,1941.52,27181.28,2022-03-24
T00000283,Smartwatch,South,6,1260.2,7561.2,2020-10-12
T00000284,Laptop,North,7,1270.02,8890.14,2020-10-08
T00000285,Keyboard,East,18,348.39,6271.02,2024-06-26
T00000286,Headphones,West,8,1836.61,14692.88,2022-11-24
T00000287,Camera,North,18,125.38,2256.84,2021-03-22
T00000288,Keyboard,Central,18,1370.79,24674.22,2024-02-12
T00000289,Headphones,South,2,1076.42,2152.84,2023-01-08
T00000290,Laptop,South,14,481.91,6746.74,2024-04-21
T00000291,Keyboard,North,5,1035.54,5177.7,2020-05-11
T00000292,Laptop,Central,3,1509.85,4529.55,2024-01-23
T00000293,Camera,East,1,272.39,272.39,2021-01-30
T00000294,Camera,North,11,1553.74,17091.14,2023-08-04
T00000295,Smartphone,South,2,1692.24,3384.48,2022-03-06
T00000296,Keyboard,East,8,246.62,1972.96,2020-05-06
T00000297,Laptop,North,19,234.1,4447.9,2020-08-21
T00000298,Monitor,Central,8,143.21,1145.68,2022-12-17
T00000299,Smartwatch,Central,9,1341.47,12073.23,2021-03-01
T00000300,Headphones,Central,11,1019.86,11218.46,2021-08-10
T00000301,Camera,West,12,89.78,1077.36,2021-07-14
T00000302,Smartphone,North,10,79.51,795.1,2022-11-24
T00000303,Monitor,South,2,487.87,975.74,2021-09-14
T00000304,Monitor,Central,13,1841.01,23933.13,2023-06-25
T00000305,Laptop,North,17,1528.51,25984.67,2022-11-08
T00000306,Tablet,East,20,1952.76,39055.2,2023-09-02
T00000307,Laptop,West,8,407.97,3263.76,2020-07-28
T00000308,Printer,South,14,1095.64,15338.96,2022-02-22
T00000309,Camera,South,1,768.99,768.99,2022-09-13
T00000310,Monitor,West,16,507.56,8120.96,2021-01-06
T00000311,Camera,North,5,1956.78,9783.9,2022-09-20
T00000312,Monitor,Central,20,1176.96,23539.2,2020-10-27
T00000313,Smartwatch,West,15,1179.35,17690.25,2020-11-23
T00000314,Keyboard,West,2,1392.35,2784.7,2024-02-17
T00000315,Monitor,East,10,1874.6,18746.0,2021-01-17
T00000316,Smartphone,East,3,1111.06,3333.18,2024-02-22
T00000317,Monitor,Central,3,668.53,2005.59,2020-10-30
T00000318,Smartphone,West,19,1429.68,27163.92,2020-08-19
T00000319,Tablet,East,1,1898.24,1898.24,2020-11-27
T00000320,Camera,East,9,1817.02,16353.18,2021-09-14
T00000321,Smartphone,West,19,836.31,15889.89,2023-09-28
T00000322,Printer,East,11,1677.55,18453.05,2022-09-14
T00000323,Smartwatch,East,12,684.25,8211.0,2023-05-08
T00000324,Printer,West,9,1480.51,13324.59,2021-04-25
T00000325,Headphones,Central,16,633.94,10143.04,2024-06-06
T00000326,Smartphone,East,14,1544.7,21625.8,2023-08-30
T00000327,Monitor,South,17,1257.66,21380.22,2023-06-10
T00000328,Headphones,South,13,1242.51,16152.63,2024-10-04
T00000329,Keyboard,East,18,355.47,6398.46,2024-06-17
T00000330,Tablet,North,11,1476.58,16242.38,2020-11-02
T00000331,Smartwatch,East,12,1304.94,15659.28,2020-01-06
T00000332,Laptop,Central,15,518.2,7773.0,2020-03-27
T00000333,Printer,South,18,1384.68,24924.24,2020-08-06
T00000334,Laptop,North,20,248.01,4960.2,2024-03-12
T00000335,Headphones,East,3,1567.51,4702.53,2023-09-29
T00000336,Smartwatch,East,3,325.98,977.94,2024-04-25
T00000337,Headphones,West,2,440.74,881.48,2023-02-08
T00000338,Printer,South,11,1798.71,19785.81,2024-02-06
T00000339,Laptop,South,10,260.62,2606.2,2024-12-27
T00000340,Laptop,West,14,998.92,13984.88,2024-01-29
T00000341,Monitor,West,12,1079.82,12957.84,2021-02-21
T00000342,Tablet,East,1,505.71,505.71,2023-12-03
T00000343,Camera,East,12,325.85,3910.2,2022-11-21
T00000344,Printer,North,13,645.23,8387.99,2022-08-26
T00000345,Mouse,South,14,961.0,13454.0,2024-09-17
T00000346,Laptop,Central,2,90.81,181.62,2024-12-06
T00000347,Headphones,South,12,1170.59,14047.08,2020-06-30
T00000348,Laptop,West,12,217.69,2612.28,2020-05-19
T00000349,Mouse,East,20,1986.62,39732.4,2022-07-15
T00000350,Monitor,North,5,922.42,4612.1,2023-11-27
T00000351,Smartphone,East,10,818.7,8187.0,2023-06-24
T00000352,Tablet,East,14,259.23,3629.22,2020-08-29
T00000353,Smartwatch,East,18,518.27,9328.86,2022-09-18
T00000354,Laptop,South,17,1358.97,23102.49,2020-05-01
T00000355,Smartwatch,South,15,1583.26,23748.9,2023-04-11
T00000356,Headphones,South,5,1251.5,6257.5,2024-03-11
T00000357,Printer,North,16,206.27,3300.32,2024-10-28
T00000358,Monitor,North,15,309.83,4647.45,2021-11-03
T00000359,Mouse,West,7,1936.09,13552.63,2024-04-18
T00000360,Headphones,West,6,1857.9,11147.4,2021-07-27
T00000361,Smartphone,North,11,1379.74,15177.14,2021-01-09
T00000362,Smartwatch,South,17,1392.69,23675.73,2024-04-23
T00000363,Mouse,North,2,303.74,607.48,2023-08-14
T00000364,Camera,Central,1,181.91,181.91,2021-01-13
T00000365,Laptop,East,12,541.44,6497.28,2020-02-27
T00000366,Smartwatch,North,20,369.36,7387.2,2021-01-19
T00000367,Smartwatch,North,13,549.14,7138.82,2022-03-10
T00000368,Smartphone,Central,10,1073.21,10732.1,2022-03-04
T00000369,Laptop,West,11,1714.18,18855.98,2022-12-16
T00000370,Laptop,West,6,1486.13,8916.78,2022-01-03
T00000371,Monitor,Central,18,84.55,1521.9,2021-08-15
T00000372,Laptop,Central,7,991.18,6938.26,2020-08-09
T00000373,Smartphone,South,20,1755.53,35110.6,2021-01-30
T00000374,Printer,South,11,1055.73,11613.03,2024-12-27
T00000375,Camera,North,11,1541.01,16951.11,2020-09-25
T00000376,Keyboard,North,6,1835.27,11011.62,2020-03-19
T00000377,Mouse,North,8,761.03,6088.24,2022-01-11
T00000378,Smartphone,South,6,1280.78,7684.68,2022-05-03
T00000379,Laptop,North,3,292.37,877.11,2020-06-12
T00000380,Printer,South,8,280.14,2241.12,2022-02-25
T00000381,Smartwatch,East,18,1219.35,21948.3,2020-09-22
T00000382,Printer,West,20,1782.03,35640.6,2021-07-04
T00000383,Smartwatch,East,11,84.28,927.08,2021-05-27
T00000384,Tablet,East,11,178.0,1958.0,2022-12-03
T00000385,Printer,Central,15,1670.14,25052.1,2022-12-21
T00000386,Smartwatch,East,18,1170.5,21069.0,2020-10-22
T00000387,Laptop,East,12,803.09,9637.08,2024-12-26
T00000388,Printer,North,3,1486.01,4458.03,2023-12-01
T00000389,Laptop,West,7,1112.94,7790.58,2023-04-13
T00000390,Tablet,East,8,887.15,7097.2,2023-10-06
T00000391,Smartphone,West,9,737.29,6635.61,2024-08-27
T00000392,Laptop,North,2,679.44,1358.88,2022-01-04
T00000393,Keyboard,South,7,307.43,2152.01,2022-06-03
T00000394,Headphones,North,5,1787.64,8938.2,2020-08-08
T00000395,Smartphone,East,7,397.64,2783.48,2021-11-27
T00000396,Monitor,West,20,677.31,13546.2,2021-07-04
T00000397,Camera,South,11,470.24,5172.64,2020-02-15
T00000398,Headphones,West,12,831.6,9979.2,2022-01-10
T00000399,Headphones,East,7,1293.34,9053.38,2023-08-24
T00000400,Smartwatch,West,3,1756.55,5269.65,2024-06-09
T00000401,Laptop,Central,9,947.96,8531.64,2023-07-20
T00000402,Camera,North,14,301.63,4222.82,2024-08-14
T00000403,Keyboard,West,12,117.09,1405.08,2023-01-14
T00000404,Monitor,South,18,1505.38,27096.84,2021-09-07
T00000405,Tablet,West,18,1996.1,35929.8,2022-08-26
T00000406,Laptop,East,5,832.86,4164.3,2022-11-16
T00000407,Smartphone,Central,4,575.92,2303.68,2021-09-26
T00000408,Tablet,Central,6,743.36,4460.16,2022-02-16
T00000409,Smartwatch,North,5,1157.17,5785.85,2024-05-15
T00000410,Camera,South,11,219.53,2414.83,2021-01-30
T00000411,Laptop,Central,1,1333.02,1333.02,2024-11-09
T00000412,Mouse,North,14,953.76,13352.64,2020-10-08
T00000413,Laptop,Central,5,1376.25,6881.25,2024-03-15
T00000414,Monitor,North,1,235.88,235.88,2022-09-18
T00000415,Headphones,West,2,954.29,1908.58,2023-07-06
T00000416,Tablet,South,18,1388.47,24992.46,2024-03-07
T00000417,Tablet,South,15,231.37,3470.55,2023-08-30
T00000418,Camera,Central,20,685.84,13716.8,2020-09-13
T00000419,Laptop,South,10,354.62,3546.2,2024-10-13
T00000420,Tablet,East,2,832.13,1664.26,2024-01-29
T00000421,Laptop,Central,8,1296.43,10371.44,2020-08-08
T00000422,Camera,Central,17,447.71,7611.07,2021-05-14
T00000423,Camera,Central,1,423.69,423.69,2021-06-18
T00000424,Headphones,West,17,1778.81,30239.77,2021-08-15
T00000425,Headphones,East,2,914.26,1828.52,2020-02-01
T00000426,Tablet,West,14,146.05,2044.7,2021-06-05
T00000427,Monitor,North,18,935.99,16847.82,2023-10-01
T00000428,Laptop,West,12,1754.05,21048.6,2022-08-24
T00000429,Headphones,West,16,625.84,10013.44,2024-02-20
T00000430,Mouse,South,5,138.71,693.55,2024-11-28
T00000431,Smartphone,South,17,1581.78,26890.26,2023-11-22
T00000432,Headphones,North,14,1203.97,16855.58,2020-03-04
T00000433,Printer,West,17,957.88,16283.96,2023-09-06
T00000434,Printer,North,20,362.81,7256.2,2020-02-21
T00000435,Keyboard,South,17,1478.13,25128.21,2020-04-20
T00000436,Mouse,North,11,133.72,1470.92,2022-02-21
T00000437,Headphones,West,8,1501.98,12015.84,2024-02-24
T00000438,Smartphone,Central,11,1146.94,12616.34,2022-11-20
T00000439,Camera,North,3,467.52,1402.56,2021-09-23
T00000440,Tablet,South,6,964.06,5784.36,2023-05-17
T00000441,Laptop,Central,19,1339.6,25452.4,2021-02-03
T00000442,Laptop,South,3,957.1,2871.3,2020-11-27
T00000443,Monitor,East,4,961.56,3846.24,2023-01-31
T00000444,Printer,East,13,1424.66,18520.58,2021-07-20
T00000445,Monitor,East,1,967.3,967.3,2024-04-30
T00000446,Smartphone,South,17,473.13,8043.21,2021-11-01
T00000447,Mouse,Central,11,807.12,8878.32,2023-04-03
T00000448,Tablet,West,10,1182.39,11823.9,2023-08-31
T00000449,Mouse,East,8,1335.69,10685.52,2022-09-20
T00000450,Printer,North,11,439.94,4839.34,2021-05-08
T00000451,Smartwatch,North,6,799.44,4796.64,2020-06-30
T00000452,Monitor,East,17,134.38,2284.46,2021-10-02
